departure_times,arrival_times,bus_no
01:30,00:10,10
02:30,03:10,10
03:05,04:05,10
05:30,04:35,10
07:00,07:10,10
08:10,08:40,10
08:50,09:50,10
09:00,10:30,10
09:30,10:40,10
09:45,11:05,10
10:00,11:30,10
11:00,11:40,10
12:20,12:40,10
12:50,14:00,10
13:55,14:30,10
15:00,15:35,10
15:40,16:40,10
16:55,17:20,10
17:20,18:35,10
18:10,19:00,10
19:40,19:50,10
20:45,21:20,10
21:00,22:25,10
21:20,22:40,10
22:30,23:00,10
06:20,01:10,10A
07:30,08:10,10A
10:20,09:20,10A
11:30,12:10,10A
16:25,13:20,10A
18:50,18:10,10A
20:25,20:40,10A
23:30,22:15,10A
00:30,00:05,12
03:00,00:35,12
03:30,02:20,12
05:15,05:00,12
06:15,05:30,12
06:45,07:10,12
08:15,08:10,12
08:45,08:45,12
09:00,10:10,12
09:45,10:40,12
10:45,11:00,12
11:15,11:40,12
12:15,12:35,12
14:45,13:05,12
15:45,14:05,12
16:45,16:45,12
17:15,17:45,12
17:45,18:40,12
18:45,19:10,12
20:00,19:40,12
20:20,20:40,12
20:45,21:55,12
21:15,22:15,12
21:45,22:35,12
22:15,23:05,12
22:45,23:35,12
05:30,00:10,14
06:10,01:15,14
08:50,07:30,14
09:25,08:10,14
09:45,10:50,14
10:05,11:25,14
11:00,11:45,14
17:35,12:05,14
18:40,13:00,14
18:55,19:35,14
19:25,20:40,14
22:10,20:55,14
23:15,21:25,14
06:15,07:55,15
07:15,08:55,15
08:00,09:40,15
09:05,10:45,15
10:05,11:45,15
11:10,12:50,15
12:10,13:50,15
13:00,14:40,15
15:45,17:25,15
16:45,18:25,15
17:45,19:25,15
18:45,20:25,15
05:00,06:55,4
05:30,07:20,4
06:20,07:55,4
07:00,08:55,4
07:30,09:20,4
08:00,10:00,4
10:20,12:05,4
14:45,16:35,4
14:45,16:35,4
16:00,17:55,4
17:00,18:55,4
17:35,19:25,4
18:00,19:55,4
19:00,20:55,4
19:30,21:40,4
22:00,23:45,4
00:00,00:20,4A
01:00,00:30,4A
07:15,00:40,4A
08:30,01:35,4A
09:00,02:55,4A
09:30,09:15,4A
10:00,10:45,4A
10:30,11:10,4A
11:00,11:25,4A
12:00,12:00,4A
12:30,12:35,4A
13:30,13:00,4A
14:00,14:10,4A
20:00,14:30,4A
20:30,15:30,4A
