stop_names,stop_order,bus_no
Mysore Road Satellite Bus Station-Towards(BHEL),0,10
Attiguppe (Towards Vijayanagara)-Towards(Vijayanagara),1,10
Vijayanagara TTMC-Towards(Vijayanagara),2,10
Vijayanagara-Towards(Magadi Road Tollgate),3,10
Industrial Area Rajajinagara-Towards(Navarang),4,10
ESI Hospital Rajajinagara (Towards Yashawanthapura)-Towards(Yashawanthapura),5,10
1st Block Rajajinagara-Towards(Yashwanthapura TTMC),6,10
Govt Soap Factory-Towards(Yashwanthapura TTMC),7,10
Yeshwanthapura TTMC-Towards(Malleshwaram),8,10
Tata Institute-Towards(Mekhri Circle),9,10
CPRI-Towards(Mekhri Circle),10,10
Mekhri Circle-Towards(Hebbala),11,10
CBI (Towards Hebbala)-Towards(Hebbala),12,10
Canara Bank Hebbala-Towards(Hebbala),13,10
Hebbala (Towards Yalahanka)-Towards(Yalahanka),14,10
Military Dairy Farm-Towards(Yalahanka),15,10
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),16,10
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),17,10
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),18,10
Kogilu Cross-Towards(Devanahalli),19,10
Venkatala-Towards(Devanahalli),20,10
Indian Air Force-Towards(Devanahalli),21,10
Hunasamaranahalli-Towards(Devanahalli),22,10
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),23,10
Chikkajala-Towards(Devanahalli),24,10
Sadahalli Gate-Towards(Devanahalli),25,10
Trumpet-Towards(Kempegowda International Airport),26,10
Kempegowda International Airport-Towards(Last Bus Stop ),27,10
Mysore Road Satellite Bus Station-Towards(BHEL),0,10A
Attiguppe (Towards Vijayanagara)-Towards(Vijayanagara),1,10A
Vijayanagara TTMC-Towards(Vijayanagara),2,10A
Vijayanagara-Towards(Magadi Road Tollgate),3,10A
Industrial Area Rajajinagara-Towards(Navarang),4,10A
ESI Hospital Rajajinagara (Towards Yashawanthapura)-Towards(Yashawanthapura),5,10A
1st Block Rajajinagara-Towards(Yashwanthapura TTMC),6,10A
Govt Soap Factory-Towards(Yashwanthapura TTMC),7,10A
Yeshwanthapura TTMC-Towards(Malleshwaram),8,10A
Tata Institute-Towards(Mekhri Circle),9,10A
Police Station Sadashivanagara-Towards(MS Ramaiah College),10,10A
CPRI Quarters-Towards(Ramaiah Hospital),11,10A
MS Ramaiah Hospital-Towards(BEL Circle),12,10A
ITI Layout-Towards(Devasandra Chilkkamaranahalli),13,10A
Devasandra Chikkamaranahalli-Towards(Kuvempu Circle),14,10A
Kuvempu Circle-Towards(Hebbala),15,10A
Devinagara-Towards(Hebbala),16,10A
Hebbala Bridge (Towards Yalahanka)-Towards(Yalahanka),17,10A
Military Dairy Farm-Towards(Yalahanka),18,10A
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),19,10A
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),20,10A
Allalasandra Gate (Towards Kogilu Cross)-Towards(Yalahanka),21,10A
Kogilu Cross-Towards(Devanahalli),22,10A
Venkatala-Towards(Devanahalli),23,10A
Indian Air Force-Towards(Devanahalli),24,10A
Hunasamaranahalli-Towards(Devanahalli),25,10A
Bettahalasuru Cross (Towards Devanahalli)-Towards(Devanahalli),26,10A
Chikkajala-Towards(Devanahalli),27,10A
Sadahalli Gate-Towards(Devanahalli),28,10A
Trumpet-Towards(Kempegowda International Airport),29,10A
Kempegowda International Airport-Towards(Last Bus Stop ),30,10A
BTM Layout Kuvempu Nagara-Towards(BTM Layout (Kuvempu Nagara)),0,12
16th Main BTM Layout -Towards(Banashankari TTMC),1,12
MICO Layout Checkpost Gopalan mall -Towards(JP Nagara 3rd Phase),2,12
JP Nagara 3rd Phase-Towards(JP Nagara),3,12
Ragigudda Temple-Towards(Banashankari TTMC),4,12
Jayanagara TTMC-Towards(Departure),5,12
Ashoka Pillar-Towards(Wilson Garden),6,12
Wilson Garden Police Station-Towards(Shanthi Nagara),7,12
Shanthinagara TTMC-Towards(KH Road),8,12
Pallavi Talkies-Towards(Kempegowda Bus Station),9,12
Mysore Bank-Towards(Kempegowda Bus Station),10,12
SOPHIYA School-Towards(Guttahalli),11,12
RM Guttahalli-Towards(Mekhri Circle),12,12
Mekhri Circle-Towards(Hebbala),13,12
Hebbala (Towards Yalahanka)-Towards(Yalahanka),14,12
Military Dairy Farm-Towards(Yalahanka),15,12
Navayuga Devanahalli Toll Plaza (KIAS Service)-Towards(Kempegowda International Airport),16,12
Byatarayanapura (Towards Yalahanka)-Towards(Yalahanka),17,12
