departure_times,arrival_times,bus_no
05:00,00:10,10
06:20,06:40,10
07:00,08:00,10
07:40,08:40,10
08:00,09:20,10
09:00,09:40,10
10:10,10:40,10
11:00,11:50,10
12:10,12:40,10
13:00,13:50,10
13:00,14:40,10
13:50,14:40,10
15:00,15:30,10
15:30,16:40,10
16:10,17:10,10
16:30,17:50,10
17:30,18:10,10
17:50,19:10,10
18:40,19:30,10
19:10,20:20,10
20:10,20:50,10
21:30,21:50,10
22:30,23:10,10
04:30,06:15,10A
05:40,07:25,10A
08:30,10:15,10A
09:40,11:25,10A
14:35,16:20,10A
17:00,18:45,10A
18:15,20:05,10A
21:00,22:50,10A
01:00,00:10,12
01:30,02:30,12
02:00,02:55,12
04:30,03:25,12
04:45,06:10,12
05:45,06:30,12
06:15,07:30,12
06:40,08:15,12
07:15,08:45,12
08:15,09:15,12
09:15,10:15,12
10:15,11:10,12
12:45,12:10,12
13:45,14:40,12
14:45,15:40,12
15:15,16:40,12
15:45,17:10,12
16:15,17:40,12
17:00,18:15,12
18:15,19:00,12
18:45,20:15,12
19:15,20:45,12
19:45,21:15,12
20:45,21:45,12
22:30,22:40,12
06:40,08:40,14
07:20,09:20,14
08:00,10:00,14
08:40,10:40,14
11:20,13:20,14
12:00,14:00,14
14:40,16:40,14
16:20,18:20,14
16:50,18:50,14
20:05,22:05,14
20:50,22:50,14
21:20,23:20,14
21:50,23:50,14
03:15,00:05,15
04:15,04:45,15
05:15,05:55,15
06:15,06:55,15
07:15,07:55,15
08:00,08:55,15
09:15,09:40,15
10:20,11:00,15
10:50,12:00,15
13:45,12:30,15
14:30,15:25,15
15:45,16:10,15
16:45,17:25,15
17:30,18:25,15
18:30,19:10,15
19:30,20:10,15
20:30,21:10,15
22:30,22:10,15
03:30,05:15,4
07:00,08:55,4
07:30,09:20,4
08:00,09:55,4
08:30,10:15,4
09:00,10:55,4
10:00,11:55,4
10:30,12:25,4
12:10,13:55,4
18:30,20:25,4
19:00,20:55,4
19:30,21:20,4
20:00,21:55,4
21:00,22:55,4
22:00,23:55,4
03:00,00:30,4A
04:00,01:45,4A
04:30,04:45,4A
05:00,05:55,4A
05:30,06:30,4A
06:30,07:00,4A
11:30,07:30,4A
12:40,08:25,4A
14:15,13:25,4A
14:40,14:40,4A
15:10,16:15,4A
15:40,16:40,4A
16:05,17:20,4A
16:40,17:55,4A
17:40,18:30,4A
23:10,18:50,4A
23:59,19:55,4A
00:00,01:20,5
00:30,01:55,5
01:20,02:25,5
02:00,03:00,5
03:30,03:55,5
04:00,05:25,5
04:40,05:55,5
05:30,06:25,5
06:00,07:25,5
06:30,07:55,5
07:00,08:25,5
07:30,08:55,5
08:00,09:25,5
08:30,09:55,5
09:00,10:30,5
10:00,11:00,5
10:30,11:55,5
11:00,12:25,5
11:30,12:55,5
12:00,13:25,5
12:30,13:55,5
13:00,14:25,5
13:30,14:55,5
14:30,15:30,5
15:00,16:25,5
15:30,16:55,5
16:00,17:25,5
16:30,17:55,5
17:00,18:25,5
